PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23
4.7046385,0.2639108,3.8811023,-1.1561317,-3.189066,-1.0550998,2.6980343,0.38308468,5.6651244,-1.5152814,3.1981118,-0.9692655,0.24613121,0.44137362,1.8075862,1.1323158,-3.078214,3.2811294,-0.52725166,-1.4551089,1.7398262,0.13970384,-2.2851934
-0.09489694,0.23272397,-1.1387,1.7967223,-10.076142,-1.1008981,-3.0060596,0.11723845,-1.2673016,0.10162236,0.8650956,-0.77601963,-1.0543003,-0.18197133,8.067997,1.1629301,-1.7750957,1.2853305,-2.8988338,0.17730123,-0.70210457,0.7397061,-3.4777849
-1.1239775,-0.9097134,0.1720152,-0.16494404,-1.003061,-0.7170744,-1.627465,3.066354,-0.3064964,0.39213547,-3.7114515,-0.21158482,-1.8520852,1.4005028,2.1054256,-2.1588998,2.9376328,-0.9994468,-0.7306554,0.36027417,-1.94898,-0.009003372,0.13498393
0.15756087,-0.00030733325,0.6232367,0.3597861,2.0780952,0.07930673,0.84391564,3.416481,0.031057041,-0.16270539,6.3383994,-0.32559088,0.32802236,-0.6193347,-0.15682682,0.042252816,0.4318391,-0.193617,0.036340315,0.15343674,0.07709283,-0.09625209,0.07313213
2.1933424,0.4335709,-0.41738847,-0.99053705,0.19872062,-2.0835547,1.3546511,-0.80702996,4.5373087,-0.5210638,1.7864333,0.7424804,-0.8763665,0.098344244,1.9907259,2.458569,-2.3758445,2.347335,-3.0804293,-0.96425843,2.2526257,-0.21973068,-1.9518071
-0.7306207,-1.9762601,0.23995207,0.7502154,-2.2649972,-0.013949435,-1.0055711,5.989902,1.9894799,-0.12621821,-0.9668551,-0.39640218,-0.8625559,0.13622445,0.8458373,-3.3237038,-1.3665862,-0.89382005,0.108472794,-0.10232289,-1.139786,0.4593599,-2.1010306
-0.928174,-0.52622956,-0.38178033,0.7000438,-0.74676275,44.76038,-1.7773454,0.2699918,1.1283464,0.9362662,-0.6708689,0.059898276,-0.3532677,6.049363,0.968591,-0.06558119,0.1049777,0.30241227,0.86040324,-0.011730424,-0.79787123,0.7053061,0.13193642
1.7523209,0.22039723,-5.344295,-0.65720844,-0.0014260863,-0.18160826,2.7353199,-0.59994036,1.8631297,-0.15549614,2.106922,0.166574,0.25071448,-0.07283675,-0.723986,1.0704259,-0.7794856,1.4536813,0.3405355,-0.334934,2.5258865,0.10243718,-0.23707098
2.5004635,-0.9801156,-1.363811,1.0306296,1.9650149,0.88303775,1.3278487,-0.26739493,3.6693332,3.330025,3.8989232,-0.0012915409,3.6207376,-0.5889598,-1.6798944,-0.7718365,-0.32137465,0.7720601,-3.274138,0.0823477,1.7646618,-2.9737978,-0.45882833
4.5803795,-0.07607871,-0.0692952,0.5762581,-1.5645356,0.0013567322,4.144264,1.683485,2.117682,-0.7091421,2.5196419,0.22395027,-0.23528029,0.42811924,0.9806582,0.5241597,-1.7479107,0.57833767,-0.12875593,-0.80465335,1.3648312,0.9107116,-0.8991454
7.7269936,-0.99046963,-1.6040968,0.07289182,-1.1072696,12.057334,0.8718145,-0.5983828,7.611602,-1.0462099,-0.986561,-2.6875384,1.762084,-1.9330965,2.9801974,2.854708,8.589735,-7.0711617,-10.012479,4.6080537,3.2344613,0.43118587,0.30979708
-0.7958009,-20.017641,0.77780616,3.5878873,7.3590336,-2.889538,-7.605491,9.480324,1.7032741,-2.7139845,-25.08028,-7.177692,-4.0237174,-1.655844,8.882196,-0.964842,-3.2469745,-22.320148,-0.23675634,4.9299865,-0.34222978,-0.10497086,15.073707
-2.139601,-0.9731712,-0.47630435,2.676911,-2.4070585,0.76552737,-0.30471876,2.7554612,-1.4239913,0.6624027,-3.546693,-1.6864017,1.0937616,4.2166386,0.32891914,-2.3498402,1.0834159,-1.986762,2.9338927,0.45683634,-2.8491104,-0.08601545,0.16917665
